Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling,DSPAlgae,ASPAlgae,PSPAlgae,Status,Comments
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,2021-06-28,No harmful species observed,120,No harmful species observed,Open,
Carlingford,C11 - AFFNI84,Oysters,2021-01-11,No harmful species observed,80,No harmful species observed,Open,
Carlingford,C11 - AFFNI84,Oysters,2021-01-25,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C11 - AFFNI84,Oysters,2021-02-09,No harmful species observed,40,No harmful species observed,Open,
Carlingford,C11 - AFFNI84,Oysters,2021-02-23,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C11 - AFFNI84,Oysters,2021-03-08,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C11 - AFFNI84,Oysters,2021-03-22,No harmful species observed,140,No harmful species observed,Open,
Carlingford,C11 - AFFNI84,Oysters,2021-04-07,No harmful species observed,540,No harmful species observed,Open,
Carlingford,C11 - AFFNI84,Oysters,2021-04-19,No harmful species observed,140,No harmful species observed,Open,
Carlingford,C11 - AFFNI84,Oysters,2021-05-04,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C11 - AFFNI84,Oysters,2021-05-17,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C11 - AFFNI84,Oysters,2021-06-01,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C11 - AFFNI84,Oysters,2021-06-08,20,40,No harmful species observed,Open,
Carlingford,C11 - AFFNI84,Oysters,2021-06-28,No harmful species observed,1660,No harmful species observed,Open,
Carlingford,Narrow Water - Wild Fishery             ,Oysters,2021-01-11,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,Narrow Water - Wild Fishery             ,Oysters,2021-01-25,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,Narrow Water - Wild Fishery             ,Oysters,2021-02-09,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,Narrow Water - Wild Fishery             ,Oysters,2021-02-23,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,Narrow Water - Wild Fishery             ,Oysters,2021-03-08,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,Narrow Water - Wild Fishery             ,Oysters,2021-03-22,No harmful species observed,40,No harmful species observed,Open,
Carlingford,Narrow Water - Wild Fishery             ,Oysters,2021-04-07,No harmful species observed,660,No harmful species observed,Open,
Carlingford,Narrow Water - Wild Fishery             ,Oysters,2021-04-19,No harmful species observed,420,No harmful species observed,Open,
Carlingford,Narrow Water - Wild Fishery             ,Oysters,2021-05-04,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,Narrow Water - Wild Fishery             ,Oysters,2021-05-17,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,Narrow Water - Wild Fishery             ,Oysters,2021-06-01,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,Narrow Water - Wild Fishery             ,Oysters,2021-06-08,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,Narrow Water - Wild Fishery             ,Oysters,2021-06-28,20,80,No harmful species observed,Open,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,2021-01-11,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,2021-01-26,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,2021-02-09,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,2021-02-23,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,2021-03-09,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,2021-03-23,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,2021-04-07,No harmful species observed,3280,No harmful species observed,OPEN,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,2021-04-12,No harmful species observed,700,No harmful species observed,OPEN,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,2021-04-26,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,2021-05-10,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,2021-05-24,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,2021-06-09,No harmful species observed,No harmful species observed,No harmful species observed,OPEN,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,2021-06-21,No harmful species observed,6140,No harmful species observed,OPEN,
Dundrum Bay,Inner South - DB2 - AFFNI95B,Mussels,,,,,OPEN,
Killough,K1 - AFFNI18,Oysters/Mussels,2021-01-11,No harmful species observed,No harmful species observed,No harmful species observed,Oysters Open/ Mussels dormant 01/01/2020,
Killough,K1 - AFFNI18,Oysters/Mussels,2021-01-26,No harmful species observed,No harmful species observed,No harmful species observed,Oysters Open/ Mussels dormant 01/01/2020,
Killough,K1 - AFFNI18,Oysters/Mussels,2021-02-09,No harmful species observed,No harmful species observed,No harmful species observed,Oysters Open/ Mussels dormant 01/01/2020,
Killough,K1 - AFFNI18,Oysters/Mussels,2021-02-23,No harmful species observed,No harmful species observed,No harmful species observed,Oysters Open/ Mussels dormant 01/01/2020,
Killough,K1 - AFFNI18,Oysters/Mussels,2021-03-09,No harmful species observed,No harmful species observed,No harmful species observed,Oysters Open/ Mussels dormant 01/01/2020,
Killough,K1 - AFFNI18,Oysters/Mussels,2021-03-23,No harmful species observed,No harmful species observed,No harmful species observed,Oysters Open/ Mussels dormant 01/01/2020,
Killough,K1 - AFFNI18,Oysters/Mussels,2021-04-07,No harmful species observed,No harmful species observed,No harmful species observed,Oysters Open/ Mussels dormant 01/01/2020,
Killough,K1 - AFFNI18,Oysters/Mussels,2021-04-12,No harmful species observed,80,No harmful species observed,Oysters Open/ Mussels dormant 01/01/2020,
Killough,K1 - AFFNI18,Oysters/Mussels,2021-04-26,No harmful species observed,300,No harmful species observed,Oysters Open/ Mussels dormant 01/01/2020,
Killough,K1 - AFFNI18,Oysters/Mussels,2021-05-10,No harmful species observed,No harmful species observed,No harmful species observed,Oysters Open/ Mussels dormant 01/01/2020,
Killough,K1 - AFFNI18,Oysters/Mussels,2021-05-24,No harmful species observed,120,No harmful species observed,Oysters Open/ Mussels dormant 01/01/2020,
Killough,K1 - AFFNI18,Oysters/Mussels,2021-06-09,20,2060,No harmful species observed,Oysters Open/ Mussels dormant 01/01/2020,
Killough,K1 - AFFNI18,Oysters/Mussels,2021-06-21,20,51320,No harmful species observed,Oysters Open/ Mussels dormant 01/01/2020,
Larne Lough,L3 - AFFNI88,Oysters,2021-01-12,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Larne Lough,L3 - AFFNI88,Oysters,2021-01-25,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Larne Lough,L3 - AFFNI88,Oysters,2021-02-08,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Larne Lough,L3 - AFFNI88,Oysters,2021-02-23,No harmful species observed,80,No harmful species observed,Open,
Larne Lough,L3 - AFFNI88,Oysters,2021-03-08,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Larne Lough,L3 - AFFNI88,Oysters,2021-03-22,No harmful species observed,120,No harmful species observed,Open,
Larne Lough,L3 - AFFNI88,Oysters,2021-04-13,No harmful species observed,280,No harmful species observed,Open,
Larne Lough,L3 - AFFNI88,Oysters,2021-04-26,No harmful species observed,80,No harmful species observed,Open,
Larne Lough,L3 - AFFNI88,Oysters,2021-05-11,No harmful species observed,140,No harmful species observed,Open,
Larne Lough,L3 - AFFNI88,Oysters,2021-05-25,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Larne Lough,L3 - AFFNI88,Oysters,2021-06-15,No harmful species observed,40,No harmful species observed,Open,
Larne Lough,L3 - AFFNI88,Oysters,2021-06-28,No harmful species observed,1220,No harmful species observed,Open,
Lough Foyle,Production Area 3 ,Mussels/ Oysters,2021-01-12,No harmful species observed,No harmful species observed,No harmful species observed,Open,Sample delayed due to staffing issues at the Loughs Agency
Lough Foyle,Production Area 3 ,Mussels/ Oysters,2021-01-18,No harmful species observed,80,No harmful species observed,Open,
Lough Foyle,Production Area 3 ,Mussels/ Oysters,2021-02-01,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Lough Foyle,Production Area 3 ,Mussels/ Oysters,2021-02-15,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Lough Foyle,Production Area 3 ,Mussels/ Oysters,2021-03-01,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Lough Foyle,Production Area 3 ,Mussels/ Oysters,2021-03-15,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Lough Foyle,Production Area 3 ,Mussels/ Oysters,2021-03-29,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Lough Foyle,Production Area 3 ,Mussels/ Oysters,2021-04-12,No harmful species observed,160,No harmful species observed,Open,
Lough Foyle,Production Area 3 ,Mussels/ Oysters,2021-04-26,No harmful species observed,"494,400",No harmful species observed,Open,Pseudo nitzschia spp. present above trigger levels - confirmed that there is no harvesting for mussels or oysters at present in PA3 or PA4 therefore no additional testing required.
Lough Foyle,Production Area 4 ,Mussels/ Oysters,2021-01-12,No harmful species observed,No harmful species observed,No harmful species observed,Open,Sample delayed due to staffing issues at the Loughs Agency
Lough Foyle,Production Area 4 ,Mussels/ Oysters,2021-01-18,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Lough Foyle,Production Area 4 ,Mussels/ Oysters,2021-02-01,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Lough Foyle,Production Area 4 ,Mussels/ Oysters,2021-02-15,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Lough Foyle,Production Area 4 ,Mussels/ Oysters,2021-03-01,No harmful species observed,No harmful species observed,No harmful species observed,Open,
